"","POS_mm","RghtLft","SECTION","volume","volume D","volume V","index","index D","index V","mb","set","src","position"
"672",23.4,"left","proximal",0.0039,0.0035,3e-04,6.35,12.3484,0.3516,"MB12",1,"MB12-1","left proximal"
"3781",23.4,"left","proximal",0.00036575,7.8e-05,0.00043325,1.2011,1,1.4023,"MB19",2,"MB19-2","left proximal"
"2314",23.4,"left","proximal",0,0,0,0,0,0,"MB17",1,"MB17-1","left proximal"
"3482",23.4,"right","distal",0.00048925,0.000264,0.0002295,2.6643,3.0553,2.2734,"MB19",1,"MB19-1","right distal"
"1422",23.4,"right","distal",0.00141525,0.000714,0.000701,3.7266,4.1736,3.2795,"MB13",2,"MB13-2","right distal"
"1134",23.4,"right","distal",0,0,0,0,0,0,"MB13",1,"MB13-1","right distal"
"2836",23.4,"right","medial",0.000469,0.000177,0.0003625,2.0716,0.0683,4.0748,"MB18",1,"MB18-1","right medial"
"3161",23.4,"right","medial",0.0004905,0.00016725,0.00038125,3.0413,0.4121,5.6705,"MB18",2,"MB18-2","right medial"
"4610",23.4,"right","medial",0.00349225,0.00158025,0.003341,5.1621,4.1856,6.1386,"MB22",1,"MB22-1","right medial"
"4968",23.4,"right","medial",0,0,0,0,0,0,"MB22",2,"MB22-2","right medial"
"2573",23.4,"right","proximal",0.0008635,0.0001905,0.00074025,2.042,2.2242,1.8598,"MB17",2,"MB17-2","right proximal"
"2035",23.4,"right","proximal",0.00308425,0.0001995,0.00322375,4.6627,0.27,9.0553,"MB14",2,"MB14-2","right proximal"
"3483",23.5,"left","distal",0.0001705,0.00012,5.25e-05,0.9857,1.644,0.3275,"MB19",1,"MB19-1","left distal"
"1135",23.5,"left","distal",0.000201,0.00015775,4.325e-05,0.6338,1.173,0.0947,"MB13",1,"MB13-1","left distal"
"1423",23.5,"left","distal",0,0,0,0,0,0,"MB13",2,"MB13-2","left distal"
"4969",23.5,"left","medial",4.825e-05,1.8e-05,5.6e-05,0.6798,0.3573,1.0024,"MB22",2,"MB22-2","left medial"
"3162",23.5,"left","medial",0.00041125,5.875e-05,0.000416,2.9167,0.1276,5.7059,"MB18",2,"MB18-2","left medial"
"2837",23.5,"left","medial",0.002617,0.0003205,0.002465,3.9215,2.5802,5.2628,"MB18",1,"MB18-1","left medial"
"4611",23.5,"left","medial",0.003211,0.00039625,0.00373925,2.9498,1.1742,4.7253,"MB22",1,"MB22-1","left medial"
"2574",23.5,"left","proximal",0.0026185,0.0005845,0.00208275,3.1819,2.0847,4.2792,"MB17",2,"MB17-2","left proximal"
"2036",23.5,"left","proximal",0.00660125,0.004429,0.002172,5.8604,6.8849,4.8358,"MB14",2,"MB14-2","left proximal"
"5322",23.5,"right","medial",2e-04,1e-04,1e-04,0.5752,0.8899,0.2604,"MB23",1,"MB23-1","right medial"
"5716",23.5,"right","medial",6e-04,0,7e-04,1.2211,0.5063,1.9358,"MB23",2,"MB23-2","right medial"
"1703",23.5,"right","medial",6.75e-06,0,0.002011,2.2054,0,4.4108,"MB14",1,"MB14-1","right medial"
"4072",23.5,"right","proximal",0.0014,4e-04,0.0011,5.9817,6.353,5.6104,"MB21",1,"MB21-1","right proximal"
"673",23.5,"right","proximal",0.0015,0.0012,5e-04,6.1737,11.7948,0.5526,"MB12",1,"MB12-1","right proximal"
"4361",23.5,"right","proximal",0.0069,0.0038,0.0032,7.6019,5.7829,9.4208,"MB21",2,"MB21-2","right proximal"
"2315",23.5,"right","proximal",0.00145575,0.0007785,0.0006775,3.7759,4.4125,3.1392,"MB17",1,"MB17-1","right proximal"
"3782",23.5,"right","proximal",0,0,0,0,0,0,"MB19",2,"MB19-2","right proximal"
"5717",23.6,"left","medial",2e-04,0,5e-04,1.2639,1.5,1.0279,"MB23",2,"MB23-2","left medial"
"5323",23.6,"left","medial",4e-04,1e-04,3e-04,1.4145,1.9376,0.8914,"MB23",1,"MB23-1","left medial"
"1704",23.6,"left","medial",0.00217175,2.975e-05,0.00397825,4.9793,2,7.9586,"MB14",1,"MB14-1","left medial"
